Owner;Name;Type
java.lang.String;serialVersionUID;long
java.lang.ClassValue$ClassValueMap;$assertionsDisabled;boolean
java.lang.invoke.LambdaForm$Kind;GET_LONG_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.io.UnsupportedEncodingException;serialVersionUID;long
java.io.FilePermission;WILD_CHAR;char
java.time.DayOfWeek;SUNDAY;java.time.DayOfWeek
java.lang.Class;ANNOTATION;int
java.security.Signature;SIGN;int
java.math.BigInteger;SMALL_PRIME_THRESHOLD;int
java.lang.invoke.LambdaForm$Kind;PUT_OBJECT_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.net.InetAddress;PREFER_IPV4_VALUE;int
java.lang.IllegalMonitorStateException;serialVersionUID;long
java.util.Random;BadSize;java.lang.String
java.io.File;PATH_OFFSET;long
java.io.FilePermission;EXECUTE;int
java.security.SignatureException;serialVersionUID;long
java.nio.file.attribute.FileTime;MINUTES_PER_HOUR;long
java.time.format.FormatStyle;SHORT;java.time.format.FormatStyle
java.net.URI;L_USERINFO;long
java.lang.StackOverflowError;serialVersionUID;long
java.time.format.TextStyle;NARROW_STANDALONE;java.time.format.TextStyle
java.lang.invoke.Invokers;NF_getCallSiteTarget;byte
java.security.SecureRandom;serialVersionUID;long
java.lang.Character;MIN_RADIX;int
jdk.internal.reflect.ConstantPool$Tag;METHODREF;jdk.internal.reflect.ConstantPool$Tag
java.lang.invoke.MethodTypeForm;LF_LIMIT;int
java.lang.invoke.MethodType;MAX_MH_INVOKER_ARITY;int
java.lang.Long;serialVersionUID;long
java.lang.invoke.MethodTypeForm;NO_CHANGE;int
java.nio.charset.CharsetEncoder;ST_RESET;int
java.net.HttpCookie;SET_COOKIE;java.lang.String
java.lang.Class;SYNTHETIC;int
java.lang.ClassValue$Entry;$assertionsDisabled;boolean
java.io.File;pathSeparatorChar;char
java.lang.Character;MIN_VALUE;char
java.lang.Thread;MAX_PRIORITY;int
java.lang.invoke.LambdaForm$Kind;FIELD;java.lang.invoke.LambdaForm$Kind
java.time.temporal.ChronoField;PROLEPTIC_MONTH;java.time.temporal.ChronoField
java.lang.invoke.MethodTypeForm;LF_DELEGATE;int
java.time.temporal.ChronoField;EPOCH_DAY;java.time.temporal.ChronoField
java.time.LocalTime;SECONDS_PER_DAY;int
java.time.LocalTime;MILLIS_PER_DAY;long
java.time.temporal.ChronoField;DAY_OF_WEEK;java.time.temporal.ChronoField
java.io.StreamCorruptedException;serialVersionUID;long
java.lang.invoke.LambdaForm$Kind;GENERIC_LINKER;java.lang.invoke.LambdaForm$Kind
java.nio.file.attribute.FileTime;DAYS_PER_10000_YEARS;long
java.lang.invoke.LambdaForm$Kind;REINVOKER;java.lang.invoke.LambdaForm$Kind
java.nio.charset.CharsetEncoder;ST_END;int
java.lang.Float;serialVersionUID;long
java.lang.invoke.BoundMethodHandle;FORM_EXPRESSION_THRESHOLD;int
java.time.format.TextStyle;NARROW;java.time.format.TextStyle
java.lang.ThreadLocal$ThreadLocalMap;INITIAL_CAPACITY;int
java.lang.module.ModuleDescriptor$Requires$Modifier;TRANSITIVE;java.lang.module.ModuleDescriptor$Requires$Modifier
